,Date,User,Tweet
25,2022-08-10 07:58:24+00:00,Mary10322802,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
26,2022-08-10 07:57:55+00:00,RochmadDjunaedi,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
27,2022-08-10 07:51:54+00:00,cianjurekspres,"Kepala Puskesmas Rawat Inap Mande, Euis Ratna Juita, mengatakan, masih banyak warga di wilayah kerja Puskesmas Mande yang belum melaksanakan vaksin, terlebih jenis booster.
https://t.co/CQ0emp6X3a"
28,2022-08-10 07:51:51+00:00,SonyArekSby,RT @yo2thok: Update❗️ Denmark MENGAKHIRI SEMUA vaksinasi Covid untuk siapa pun yang berusia di bawah 18 tahun: “anak-anak dan remaja sangat…
29,2022-08-10 07:50:29+00:00,sehatwalafiat88,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
30,2022-08-10 07:47:50+00:00,kerjacerdas,"RT @frenkyf1: Mari kita dukung perjuangan @MprAldo dkk ,hilangkan diskriminasi .

Pers Release: Gugatan melawan Presiden, Ketua Satgas Covi…"
31,2022-08-10 07:43:12+00:00,jaga_atitude,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
32,2022-08-10 07:41:09+00:00,mikirdoeloe,"vaksin Covid-19 yang aman, halal, dan berkualitas. Tetap pakai masker, cuci tangan pakai sabun minimal 20 detik, jaga jarak minimal 1 meter, membatasi mobilitas, dan menghindari kerumunan. Lindungi diri dan keluarga dari Covid-19. Mari kita dukung program vaksinasi https://t.co/HLoTTY3O0Y"
33,2022-08-10 07:35:35+00:00,SulianaNgah,"Jangan lupa tetap terapkan protokol kesehatan untuk memutuskan penyebaran Covid-19, meski sudah mendapat vaksinasi dosis ketiga karena varian baru Omicron BA.4 dan BA.5 masih mengintai. #PapuaIndonesia Trump #Gratismentalitaet https://t.co/7eWphDdKk8"
34,2022-08-10 07:35:28+00:00,SulianaNgah,"Vaksinasi Covid-19 bermanfaat untuk kekebalan tubuh sehingga dapat mencegah penyebaran virus Covid-19. Bagi yang sudah divaksin, jangan lupa untuk tetap menerapkan protokol kesehatan mengingat ada varian baru bernama Omicron BA.4 dan BA.5. #PapuaIndonesia Trump #Gratismentalitaet https://t.co/gCRwPC7aIK"
